ind,nest,chick,treatment,survival,brood,hatch,sex,year,cond,asynchrony,july,age,weight,tarsus,headbill,culmen,tc,tarsusratio,runt2,runt3,runt4,runt,c,y
67r13,67,red,1,1,4,1,m,2013,d,0,14,8,117,NA,NA,NA,NA,NA,0,0,0,0,r,13
67r13,67,red,1,1,4,1,m,2013,d,0,14,5,71,NA,NA,NA,NA,NA,0,0,0,0,r,13
72b13,72,blue,0,1,4,3,f,2013,d,0,16,29,753,NA,NA,NA,NA,NA,1,1,0,0,b,13
72b13,72,blue,0,1,4,3,f,2013,d,0,16,22,664,NA,NA,NA,NA,NA,1,1,0,0,b,13
72b13,72,blue,0,1,4,3,f,2013,d,0,16,15,295,NA,NA,NA,NA,NA,1,1,0,0,b,13
72b13,72,blue,0,1,4,3,f,2013,d,0,16,8,102,NA,NA,NA,NA,NA,1,1,0,0,b,13
72b13,72,blue,0,1,4,3,f,2013,d,0,16,2,32,NA,NA,NA,NA,NA,1,1,0,0,b,13
72bk13,72,black,0,1,4,4,m,2013,d,0,16,29,566,NA,NA,NA,NA,NA,1,1,1,1,bk,13
72bk13,72,black,0,1,4,4,m,2013,d,0,16,22,500,NA,NA,NA,NA,NA,1,1,1,1,bk,13
72bk13,72,black,0,1,4,4,m,2013,d,0,16,15,263,NA,NA,NA,NA,NA,1,1,1,1,bk,13
72bk13,72,black,0,1,4,4,m,2013,d,0,16,8,91,NA,NA,NA,NA,NA,1,1,1,1,bk,13
72bk13,72,black,0,1,4,4,m,2013,d,0,16,2,31,NA,NA,NA,NA,NA,1,1,1,1,bk,13
72r13,72,red,0,1,4,1,f,2013,d,0,16,29,793,NA,NA,NA,NA,NA,0,0,0,0,r,13
72r13,72,red,0,1,4,1,f,2013,d,0,16,22,640,NA,NA,NA,NA,NA,0,0,0,0,r,13
72r13,72,red,0,1,4,1,f,2013,d,0,16,15,258,NA,NA,NA,NA,NA,0,0,0,0,r,13
72r13,72,red,0,1,4,1,f,2013,d,0,16,8,91,NA,NA,NA,NA,NA,0,0,0,0,r,13
72r13,72,red,0,1,4,1,f,2013,d,0,16,2,36,NA,NA,NA,NA,NA,0,0,0,0,r,13
75g13,75,green,0,1,2,2,f,2013,d,0,10,29,830,NA,NA,NA,NA,NA,1,0,0,0,g,13
75g13,75,green,0,1,2,2,f,2013,d,0,10,24,790,NA,NA,NA,NA,NA,1,0,0,0,g,13
75g13,75,green,0,1,2,2,f,2013,d,0,10,19,592,NA,NA,NA,NA,NA,1,0,0,0,g,13
75g13,75,green,0,1,2,2,f,2013,d,0,10,14,336,NA,NA,NA,NA,NA,1,0,0,0,g,13
75g13,75,green,0,1,2,2,f,2013,d,0,10,10,190,NA,NA,NA,NA,NA,1,0,0,0,g,13
75g13,75,green,0,1,2,2,f,2013,d,0,10,5,60,NA,NA,NA,NA,NA,1,0,0,0,g,13
75r13,75,red,0,1,2,1,f,2013,d,0,10,29,875,NA,NA,NA,NA,NA,0,0,0,0,r,13
75r13,75,red,0,1,2,1,f,2013,d,0,10,24,840,NA,NA,NA,NA,NA,0,0,0,0,r,13
75r13,75,red,0,1,2,1,f,2013,d,0,10,19,647,NA,NA,NA,NA,NA,0,0,0,0,r,13
75r13,75,red,0,1,2,1,f,2013,d,0,10,14,368,NA,NA,NA,NA,NA,0,0,0,0,r,13
75r13,75,red,0,1,2,1,f,2013,d,0,10,10,213,NA,NA,NA,NA,NA,0,0,0,0,r,13
75r13,75,red,0,1,2,1,f,2013,d,0,10,5,69,NA,NA,NA,NA,NA,0,0,0,0,r,13
79g13,79,green,1,1,4,2,f,2013,d,2,19,28,853,NA,NA,NA,NA,NA,1,0,0,0,g,13
79g13,79,green,1,1,4,2,f,2013,d,2,19,25,858,NA,NA,NA,NA,NA,1,0,0,0,g,13
79g13,79,green,1,1,4,2,f,2013,d,2,19,20,685,NA,NA,NA,NA,NA,1,0,0,0,g,13
79g13,79,green,1,1,4,2,f,2013,d,2,19,14,481,NA,NA,NA,NA,NA,1,0,0,0,g,13
79g13,79,green,1,1,4,2,f,2013,d,2,19,9,226,NA,NA,NA,NA,NA,1,0,0,0,g,13
79g13,79,green,1,1,4,2,f,2013,d,2,19,4,68,NA,NA,NA,NA,NA,1,0,0,0,g,13
79r13,79,red,1,1,4,1,m,2013,d,0,17,30,653,NA,NA,NA,NA,NA,0,0,0,0,r,13
79r13,79,red,1,1,4,1,m,2013,d,0,17,27,645,NA,NA,NA,NA,NA,0,0,0,0,r,13
79r13,79,red,1,1,4,1,m,2013,d,0,17,22,570,NA,NA,NA,NA,NA,0,0,0,0,r,13
79r13,79,red,1,1,4,1,m,2013,d,0,17,16,481,NA,NA,NA,NA,NA,0,0,0,0,r,13
79r13,79,red,1,1,4,1,m,2013,d,0,17,11,269,NA,NA,NA,NA,NA,0,0,0,0,r,13
79r13,79,red,1,1,4,1,m,2013,d,0,17,6,107,NA,NA,NA,NA,NA,0,0,0,0,r,13
79r13,79,red,1,1,4,1,m,2013,d,0,17,2,42,NA,NA,NA,NA,NA,0,0,0,0,r,13
7b13,7,blue,0,1,4,3,f,2013,d,1,11,33,873,NA,NA,NA,NA,NA,1,1,0,0,b,13
7b13,7,blue,0,1,4,3,f,2013,d,1,11,27,869,NA,NA,NA,NA,NA,1,1,0,0,b,13
7b13,7,blue,0,1,4,3,f,2013,d,1,11,21,704,NA,NA,NA,NA,NA,1,1,0,0,b,13
7b13,7,blue,0,1,4,3,f,2013,d,1,11,16,428,NA,NA,NA,NA,NA,1,1,0,0,b,13
7b13,7,blue,0,1,4,3,f,2013,d,1,11,12,295,NA,NA,NA,NA,NA,1,1,0,0,b,13
7b13,7,blue,0,1,4,3,f,2013,d,1,11,8,146,NA,NA,NA,NA,NA,1,1,0,0,b,13
7bk13,7,black,0,1,4,4,f,2013,d,4,14,30,918,NA,NA,NA,NA,NA,1,1,1,1,bk,13
7bk13,7,black,0,1,4,4,f,2013,d,4,14,24,878,NA,NA,NA,NA,NA,1,1,1,1,bk,13
7bk13,7,black,0,1,4,4,f,2013,d,4,14,18,638,NA,NA,NA,NA,NA,1,1,1,1,bk,13
7bk13,7,black,0,1,4,4,f,2013,d,4,14,13,396,NA,NA,NA,NA,NA,1,1,1,1,bk,13
7bk13,7,black,0,1,4,4,f,2013,d,4,14,9,219,NA,NA,NA,NA,NA,1,1,1,1,bk,13
7bk13,7,black,0,1,4,4,f,2013,d,4,14,5,101,NA,NA,NA,NA,NA,1,1,1,1,bk,13
7g13,7,green,0,1,4,2,m,2013,d,0,10,34,653,NA,NA,NA,NA,NA,1,0,0,0,g,13
7g13,7,green,0,1,4,2,m,2013,d,0,10,28,658,NA,NA,NA,NA,NA,1,0,0,0,g,13
7g13,7,green,0,1,4,2,m,2013,d,0,10,22,572,NA,NA,NA,NA,NA,1,0,0,0,g,13
7g13,7,green,0,1,4,2,m,2013,d,0,10,17,403,NA,NA,NA,NA,NA,1,0,0,0,g,13
7g13,7,green,0,1,4,2,m,2013,d,0,10,13,293,NA,NA,NA,NA,NA,1,0,0,0,g,13
7g13,7,green,0,1,4,2,m,2013,d,0,10,9,164,NA,NA,NA,NA,NA,1,0,0,0,g,13
7r13,7,red,0,1,4,1,m,2013,d,0,10,34,650,NA,NA,NA,NA,NA,0,0,0,0,r,13
