"","ind","nest","chick","sex","year","age","weight","hatch_day"
"295","33r15",33,"red","f",2015,15,440,2015-07-13
"296","33r15",33,"red","f",2015,21,727,2015-07-13
"297","33r15",33,"red","f",2015,30,781,2015-07-13
"298","89r15",89,"red","f",2015,4,56,2015-07-16
"299","89r15",89,"red","f",2015,8,159,2015-07-16
"300","89r15",89,"red","f",2015,14,415,2015-07-16
"301","89r15",89,"red","f",2015,21,697,2015-07-16
"302","89r15",89,"red","f",2015,24,729,2015-07-16
"303","89r15",89,"red","f",2015,29,811,2015-07-16
"304","19r15",19,"red","m",2015,1,29,2015-07-21
"305","19r15",19,"red","m",2015,6,86,2015-07-21
"306","19r15",19,"red","m",2015,15,288,2015-07-21
"307","19r15",19,"red","m",2015,25,576,2015-07-21
"308","19r15",19,"red","m",2015,29,598,2015-07-21
"309","67g15",67,"green","m",2015,5,74,2015-07-14
"310","67g15",67,"green","m",2015,10,200,2015-07-14
"311","67g15",67,"green","m",2015,15,346,2015-07-14
"312","67g15",67,"green","m",2015,20,446,2015-07-14
"313","67g15",67,"green","m",2015,25,506,2015-07-14
"314","67g15",67,"green","m",2015,30,474,2015-07-14
"315","12b15",12,"blue","m",2015,3,49,2015-07-10
"316","12b15",12,"blue","m",2015,7,120,2015-07-10
"317","12b15",12,"blue","m",2015,12,262,2015-07-10
"318","12b15",12,"blue","m",2015,16,425,2015-07-10
"319","12b15",12,"blue","m",2015,20,535,2015-07-10
"320","12b15",12,"blue","m",2015,26,557,2015-07-10
"321","12b15",12,"blue","m",2015,34,586,2015-07-10
"322","95g15",95,"green","m",2015,2,35,2015-07-12
"323","95g15",95,"green","m",2015,5,63,2015-07-12
"324","95g15",95,"green","m",2015,8,201,2015-07-12
"325","95g15",95,"green","m",2015,15,368,2015-07-12
"326","95g15",95,"green","m",2015,19,461,2015-07-12
"327","95g15",95,"green","m",2015,25,569,2015-07-12
"328","95g15",95,"green","m",2015,29,604,2015-07-12
"329","20r15",20,"red","m",2015,4,52,2015-07-14
"330","20r15",20,"red","m",2015,5,65,2015-07-14
"331","20r15",20,"red","m",2015,9,155,2015-07-14
"332","20r15",20,"red","m",2015,15,367,2015-07-14
"333","20r15",20,"red","m",2015,20,490,2015-07-14
"334","20r15",20,"red","m",2015,26,601,2015-07-14
"335","20r15",20,"red","m",2015,30,581,2015-07-14
"336","59r15",59,"red","m",2015,5,69,2015-07-18
"337","59r15",59,"red","m",2015,11,223,2015-07-18
"338","59r15",59,"red","m",2015,16,351,2015-07-18
"339","59r15",59,"red","m",2015,22,533,2015-07-18
"340","59r15",59,"red","m",2015,26,558,2015-07-18
"341","59r15",59,"red","m",2015,30,617,2015-07-18
"342","72r15",72,"red","m",2015,1,32,2015-07-14
"343","72r15",72,"red","m",2015,6,82,2015-07-14
"344","72r15",72,"red","m",2015,13,305,2015-07-14
"345","72r15",72,"red","m",2015,17,422,2015-07-14
"346","72r15",72,"red","m",2015,21,559,2015-07-14
"347","72r15",72,"red","m",2015,28,619,2015-07-14
"348","72r15",72,"red","m",2015,32,609,2015-07-14
"349","39r15",39,"red","m",2015,3,39,2015-07-14
"350","39r15",39,"red","m",2015,8,97,2015-07-14
"351","39r15",39,"red","m",2015,14,296,2015-07-14
"352","39r15",39,"red","m",2015,21,463,2015-07-14
"353","39r15",39,"red","m",2015,24,564,2015-07-14
"354","39r15",39,"red","m",2015,30,611,2015-07-14
"355","85r15",85,"red","m",2015,2,35,2015-07-14
"356","85r15",85,"red","m",2015,6,64,2015-07-14
"357","85r15",85,"red","m",2015,12,184,2015-07-14
"358","85r15",85,"red","m",2015,15,272,2015-07-14
"359","85r15",85,"red","m",2015,25,324,2015-07-14
"360","85r15",85,"red","m",2015,31,553,2015-07-14
"361","75r15",75,"red","m",2015,4,42,2015-07-14
"362","75r15",75,"red","m",2015,9,138,2015-07-14
"363","75r15",75,"red","m",2015,15,390,2015-07-14
"364","75r15",75,"red","m",2015,20,453,2015-07-14
"365","75r15",75,"red","m",2015,24,561,2015-07-14
"366","75r15",75,"red","m",2015,29,634,2015-07-14
"367","119r15",119,"red","m",2015,5,64,2015-07-17
"368","119r15",119,"red","m",2015,10,191,2015-07-17
"369","119r15",119,"red","m",2015,14,342,2015-07-17
"370","119r15",119,"red","m",2015,19,523,2015-07-17
